,Date,Open,High,Low,Close*,Adj Close**,Volume,Date2
255,"Dec 11, 2017",187.85,192.64,184.82,190.12,190.12,29352900,2017-12-11
256,"Dec 04, 2017",189.36,189.72,178.38,188.54,188.54,29990400,2017-12-04
257,"Nov 27, 2017",195.56,199.68,184.32,186.82,186.82,37243500,2017-11-27
258,"Nov 20, 2017",193.30,197.52,191.90,195.75,195.75,16670700,2017-11-20
259,"Nov 13, 2017",191.12,197.70,191.00,193.20,193.20,21845300,2017-11-13
260,"Nov 06, 2017",200.00,202.48,189.50,192.02,192.02,29154100,2017-11-06
261,"Oct 30, 2017",199.62,201.10,195.22,200.01,200.01,23260700,2017-10-30
262,"Oct 23, 2017",194.17,200.65,191.03,199.54,199.54,32678800,2017-10-23
263,"Oct 16, 2017",201.95,204.38,191.16,194.16,194.16,70234600,2017-10-16
264,"Oct 09, 2017",199.10,200.82,192.10,199.49,199.49,39490300,2017-10-09
265,"Oct 02, 2017",182.11,198.92,176.58,198.02,198.02,55295900,2017-10-02
266,"Sep 25, 2017",186.46,186.55,176.55,181.35,181.35,28985100,2017-09-25
267,"Sep 18, 2017",183.61,189.95,182.73,187.35,187.35,27579100,2017-09-18
268,"Sep 11, 2017",178.10,185.33,178.03,182.35,182.35,27091700,2017-09-11
269,"Sep 04, 2017",173.40,180.39,172.44,176.42,176.42,23959000,2017-09-04
270,"Aug 28, 2017",166.43,176.48,164.73,174.74,174.74,27066900,2017-08-28
271,"Aug 21, 2017",166.91,171.24,164.23,165.95,165.95,25425000,2017-08-21
272,"Aug 14, 2017",169.80,172.45,165.72,166.54,166.54,32753000,2017-08-14
273,"Aug 07, 2017",181.00,182.27,167.60,171.40,171.40,35099700,2017-08-07
274,"Jul 31, 2017",184.26,184.97,177.81,180.27,180.27,24886400,2017-07-31
275,"Jul 24, 2017",188.69,190.25,179.38,184.04,184.04,36074000,2017-07-24
276,"Jul 17, 2017",162.91,191.50,160.02,188.54,188.54,93613000,2017-07-17
277,"Jul 10, 2017",150.34,161.35,149.65,161.12,161.12,30990300,2017-07-10
278,"Jul 03, 2017",149.80,150.75,144.25,150.18,150.18,19583800,2017-07-03
279,"Jun 26, 2017",158.78,159.97,148.00,149.41,149.41,31386000,2017-06-26
280,"Jun 19, 2017",154.29,158.19,151.40,158.02,158.02,27246400,2017-06-19
281,"Jun 12, 2017",155.30,155.68,147.30,152.38,152.38,43290400,2017-06-12
282,"Jun 05, 2017",165.49,166.87,154.50,158.03,158.03,25621500,2017-06-05
283,"May 29, 2017",163.60,165.36,160.74,165.18,165.18,18312900,2017-05-29
284,"May 22, 2017",157.86,164.10,156.43,162.43,162.43,23481100,2017-05-22
285,"May 15, 2017",160.25,161.78,153.00,157.02,157.02,27515600,2017-05-15
286,"May 08, 2017",156.55,161.10,155.30,160.81,160.81,26370000,2017-05-08
287,"May 01, 2017",151.91,158.59,151.61,156.60,156.60,29271600,2017-05-01
288,"Apr 24, 2017",143.61,153.52,143.40,152.20,152.20,48834800,2017-04-24
289,"Apr 17, 2017",144.43,147.40,138.66,142.87,142.87,62503800,2017-04-17
290,"Apr 10, 2017",143.04,145.74,141.21,142.92,142.92,18501700,2017-04-10
291,"Apr 03, 2017",146.70,148.01,142.71,143.11,143.11,19938700,2017-04-03
292,"Mar 27, 2017",140.83,148.29,140.00,147.81,147.81,21614000,2017-03-27
293,"Mar 20, 2017",145.45,147.70,140.76,142.02,142.02,24836900,2017-03-20
294,"Mar 13, 2017",140.90,146.50,140.32,145.11,145.11,27137700,2017-03-13
295,"Mar 06, 2017",141.00,142.84,139.74,140.89,140.89,21413800,2017-03-06
296,"Feb 27, 2017",143.12,143.92,138.26,139.14,139.14,23459900,2017-02-27
297,"Feb 20, 2017",142.99,144.49,141.52,143.25,143.25,15024200,2017-02-20
298,"Feb 13, 2017",145.19,145.95,140.05,142.22,142.22,25902900,2017-02-13
299,"Feb 06, 2017",140.00,145.30,139.16,144.82,144.82,29739700,2017-02-06
300,"Jan 30, 2017",141.77,142.41,138.80,140.25,140.25,25542500,2017-01-30
301,"Jan 23, 2017",138.65,142.49,137.03,142.45,142.45,36788900,2017-01-23
303,"Jan 16, 2017",135.04,143.46,131.06,138.60,138.60,61089600,2017-01-16
304,"Jan 09, 2017",131.48,133.93,128.50,133.70,133.70,33276600,2017-01-09
305,"Jan 02, 2017",124.96,133.88,124.31,131.07,131.07,38124900,2017-01-02
306,"Dec 26, 2016",126.24,129.07,123.60,123.80,123.80,17577900,2016-12-26
307,"Dec 19, 2016",124.30,127.74,122.87,125.59,125.59,21491000,2016-12-19
308,"Dec 12, 2016",122.84,127.43,122.30,124.22,124.22,30836600,2016-12-12
309,"Dec 05, 2016",120.73,126.35,118.40,122.88,122.88,41032700,2016-12-05
310,"Nov 28, 2016",117.05,120.98,113.95,120.81,120.81,37666800,2016-11-28
311,"Nov 21, 2016",116.20,119.46,116.19,117.41,117.41,20209300,2016-11-21
312,"Nov 14, 2016",114.75,116.81,110.68,115.21,115.21,36290700,2016-11-14
313,"Nov 07, 2016",124.26,125.81,113.11,114.78,114.78,49022600,2016-11-07
314,"Oct 31, 2016",126.85,126.90,121.62,122.03,122.03,28431600,2016-10-31
315,"Oct 24, 2016",127.42,129.29,125.75,126.57,126.57,46828500,2016-10-24
316,"Oct 17, 2016",100.50,127.85,98.38,127.50,127.50,124064600,2016-10-17
317,"Oct 10, 2016",103.18,104.53,97.63,101.47,101.47,41009500,2016-10-10
318,"Oct 03, 2016",98.00,106.97,98.00,104.82,104.82,55677700,2016-10-03
